NAMES=EUR,SEA,SIB,FAM
N=66,44,44,28
MAX_M=10
TOTAL_SITES=2170616682
1,0,0,0 1525898
0,1,0,0 1075097
0,0,1,0 818979
0,0,0,1 433157
2,0,0,0 315625
0,0,2,0 171047
0,2,0,0 149227
3,0,0,0 135865
1,0,1,0 107164
4,0,0,0 76450
0,1,1,0 68842
0,0,3,0 63233
2,0,1,0 57366
0,0,0,2 51870
0,3,0,0 47600
5,0,0,0 43511
1,0,2,0 39676
3,0,1,0 35615
1,1,0,0 34449
0,0,4,0 32665
0,1,2,0 31971
0,2,1,0 27820
6,0,0,0 27542
1,0,0,1 24433
2,0,2,0 23950
4,0,1,0 23885
0,0,1,1 23345
1,0,3,0 22652
0,4,0,0 20647
0,0,0,3 20308
0,1,3,0 19777
2,1,0,0 18923
7,0,0,0 18787
0,0,5,0 18319
5,0,1,0 17108
1,1,1,0 15642
0,3,1,0 14613
0,0,2,1 14549
1,0,4,0 14362
0,2,2,0 14180
2,0,0,1 12969
0,0,0,4 12672
3,0,2,0 12437
2,0,3,0 12435
0,1,4,0 12396
6,0,1,0 12143
8,0,0,0 11792
3,1,0,0 11427
1,2,0,0 11087
1,1,2,0 10771
0,0,6,0 10708
0,0,1,2 10690
1,0,1,1 10439
0,1,0,1 10207
1,0,5,0 10043
0,0,3,1 9855
7,0,1,0 9354
0,5,0,0 9211
2,0,4,0 9118
2,1,1,0 9103
1,1,3,0 9002
0,4,1,0 8960
0,1,5,0 8809
0,2,3,0 8800
4,1,0,0 8409
9,0,0,0 8324
0,3,2,0 8296
1,0,2,1 8271
3,0,0,1 8029
0,0,2,2 7883
0,0,0,5 7724
4,0,2,0 7541
1,1,4,0 7120
8,0,1,0 7043
0,0,4,1 6979
1,0,3,1 6877
2,1,2,0 6873
1,0,6,0 6835
2,2,0,0 6784
3,1,1,0 6736
2,0,1,1 6600
2,0,5,0 6455
0,1,1,1 6424
0,0,7,0 6256
0,1,6,0 6124
3,0,3,0 6065
1,2,1,0 5976
1,1,5,0 5918
1,0,4,1 5874
2,1,3,0 5847
5,0,2,0 5804
0,4,2,0 5703
9,0,1,0 5679
0,2,4,0 5563
1,0,0,2 5548
0,5,1,0 5508
10,0,0,0 5441
0,0,1,3 5439
5,1,0,0 5433
0,6,0,0 5421
4,0,0,1 5396
0,0,0,6 5376
0,1,2,1 5263
0,0,5,1 5233
0,3,3,0 5135
0,0,3,2 5123
2,0,2,1 5008
1,1,6,0 4989
2,0,6,0 4947
4,1,1,0 4943
6,0,2,0 4869
2,1,4,0 4862
1,3,0,0 4704
1,0,5,1 4564
3,1,2,0 4560
1,0,7,0 4530
0,0,4,2 4508
1,0,1,2 4497
0,1,7,0 4394
0,1,0,2 4385
1,0,2,2 4384
0,1,3,1 4359
2,1,5,0 4349
6,1,0,0 4346
2,2,1,0 4323
2,0,3,1 4321
3,2,0,0 4153
1,1,7,0 4130
3,0,1,1 4124
0,2,0,1 4075
0,2,5,0 4025
0,1,4,1 3987
1,0,6,1 3972
3,0,4,0 3958
0,0,8,0 3951
5,0,0,1 3946
1,2,2,0 3943
2,0,4,1 3901
7,0,2,0 3900
1,1,0,1 3890
2,1,6,0 3850
1,0,3,2 3843
5,1,1,0 3784
2,0,0,2 3734
1,1,4,1 3688
0,0,6,1 3650
0,5,2,0 3640
2,0,7,0 3578
1,1,5,1 3554
0,4,3,0 3539
0,0,0,7 3525
1,1,8,0 3502
2,2,2,0 3493
3,1,3,0 3484
0,0,5,2 3475
0,0,2,3 3458
1,1,6,1 3447
1,1,1,1 3415
0,0,1,4 3391
1,0,4,2 3358
0,6,1,0 3356
0,1,1,2 3351
1,1,3,1 3339
3,2,1,0 3337
7,1,0,0 3307
0,1,5,1 3283
4,2,0,0 3281
1,1,2,1 3267
2,0,5,1 3250
1,0,7,1 3227
2,1,7,0 3221
6,1,1,0 3215
0,2,1,1 3172
8,0,2,0 3157
1,2,3,0 3099
4,0,3,0 3099
2,0,6,1 3075
1,0,8,0 3036
0,1,8,0 3027
0,3,4,0 3024
1,3,1,0 3002
0,2,6,0 2944
0,1,2,2 2940
6,0,0,1 2922
2,3,0,0 2912
4,1,2,0 2888
2,0,2,2 2876
2,1,6,1 2851
3,1,4,0 2820
4,0,1,1 2817
0,7,0,0 2816
3,0,5,0 2805
1,0,5,2 2791
1,1,7,1 2771
0,6,2,0 2765
2,0,8,0 2729
0,1,6,1 2726
0,2,0,2 2725
1,4,0,0 2689
2,0,4,2 2683
2,0,7,1 2665
2,0,5,2 2636
1,1,5,2 2625
2,1,5,1 2622
0,0,6,2 2618
0,5,3,0 2609
1,0,0,3 2609
5,0,1,1 2600
7,1,1,0 2563
0,1,3,2 2561
2,0,3,2 2541
2,0,1,2 2538
2,1,4,1 2536
8,1,0,0 2523
2,3,1,0 2520
1,0,6,2 2518
1,1,6,2 2504
0,0,0,8 2496
0,0,7,1 2490
0,1,0,3 2482
4,2,1,0 2477
0,4,4,0 2430
3,0,2,1 2430
2,1,0,1 2425
0,1,4,2 2419
1,0,7,2 2418
3,0,6,0 2399
1,0,8,1 2372
1,2,4,0 2372
8,1,1,0 2353
1,1,4,2 2351
3,1,5,0 2350
5,2,0,0 2348
0,1,5,2 2342
2,2,3,0 2338
2,1,5,2 2312
0,2,2,1 2307
1,0,1,3 2270
2,0,6,2 2263
0,0,9,0 2262
0,1,7,1 2261
3,1,6,0 2258
1,4,1,0 2256
3,2,2,0 2246
0,3,5,0 2243
2,1,3,1 2231
1,0,9,0 2225
7,0,0,1 2225
0,7,1,0 2208
0,0,1,5 2205
1,3,2,0 2203
0,0,3,3 2202
0,0,2,4 2175
2,1,1,1 2162
5,0,3,0 2158
0,1,9,0 2140
0,2,7,0 2139
6,0,1,1 2130
3,0,3,1 2115
5,1,2,0 2115
1,2,5,0 2102
3,3,0,0 2044
1,0,2,3 2035
0,1,8,1 2033
0,1,6,2 2029
1,1,3,2 2025
0,5,4,0 2012
0,7,2,0 1988
5,2,1,0 1967
2,2,4,0 1955
6,1,2,0 1943
2,1,2,1 1899
0,2,3,1 1896
0,1,7,2 1894
0,0,4,3 1888
3,2,3,0 1884
9,1,0,0 1882
3,0,0,2 1862
3,3,1,0 1857
1,1,2,2 1856
2,1,4,2 1852
0,0,7,2 1846
3,0,4,1 1843
6,0,3,0 1838
0,0,8,1 1824
2,2,5,0 1820
1,5,0,0 1815
0,3,0,1 1801
0,2,1,2 1798
0,6,3,0 1786
1,2,6,0 1785
6,2,0,0 1771
7,0,3,0 1756
3,0,7,0 1753
2,2,6,0 1743
8,0,0,1 1734
2,4,0,0 1733
4,2,2,0 1733
0,1,1,3 1726
0,1,0,4 1719
0,2,4,1 1710
4,3,0,0 1698
2,3,2,0 1682
2,0,0,3 1677
1,0,3,3 1671
3,1,4,1 1654
1,0,0,4 1646
1,3,3,0 1644
4,1,3,0 1637
0,2,8,0 1635
1,5,1,0 1633
6,2,1,0 1626
1,1,1,2 1612
1,0,4,3 1610
7,1,2,0 1610
4,0,4,0 1609
4,3,1,0 1592
1,4,2,0 1588
0,0,0,9 1582
0,6,4,0 1581
1,2,7,0 1576
3,1,5,1 1567
0,8,0,0 1554
7,0,1,1 1552
2,4,1,0 1546
1,0,5,3 1542
1,1,0,2 1532
0,4,5,0 1528
3,3,2,0 1520
3,0,5,1 1515
2,1,3,2 1503
3,1,0,1 1494
3,0,6,1 1493
3,0,1,2 1490
0,3,1,1 1489
3,2,4,0 1479
0,0,8,2 1476
0,0,1,6 1475
4,0,2,1 1467
1,0,6,3 1464
5,2,2,0 1455
3,0,2,2 1451
0,2,2,2 1439
0,1,2,3 1437
0,0,3,4 1433
3,4,1,0 1419
5,3,1,0 1415
2,0,1,3 1414
3,0,3,2 1414
0,8,1,0 1399
0,2,5,1 1386
3,0,4,2 1385
0,2,0,3 1383
7,2,1,0 1378
0,8,2,0 1370
0,0,5,3 1366
3,1,3,1 1357
0,3,6,0 1350
3,1,1,1 1350
0,0,10,0 1342
3,0,5,2 1339
4,0,0,2 1335
4,3,2,0 1313
1,2,0,1 1310
3,1,2,1 1307
2,4,2,0 1303
7,2,0,0 1302
0,5,5,0 1301
0,1,3,3 1279
4,2,3,0 1264
5,3,0,0 1260
8,2,0,0 1253
2,0,3,3 1252
4,1,4,0 1250
0,2,4,2 1248
0,2,6,1 1242
0,7,3,0 1241
9,0,0,1 1240
1,1,5,3 1236
0,0,9,1 1234
0,1,5,3 1226
0,4,6,0 1225
2,0,4,3 1221
0,1,1,4 1218
