# Nr Burnin Cycles: 1346
# Nr Main Cycles: 1001
Param	MaxL	LowerCI	Median	UpperCI
Score	5.503134217048233e7	5.503134452615323e7	5.5031350645868205e7	5.503135954187898e7
p_EUR	1.9060110218875406	1.895296943665767	1.910033905348887	1.9235488250218107
p_SEA	6.67308272111562	6.574244580495408	6.654234276295017	6.756639725275574
p_SIB	0.7322555089809326	0.7291216777996752	0.7326601729756712	0.7366083653316352
p_FAM	1.2005608490867878	1.180947811365368	1.1969363365988537	1.2041826385414909
t_EUR_SIB	1.5951118620536157e-2	1.582233044091577e-2	1.5939419201797773e-2	1.6071751484740902e-2
t_SEA_FAM	2.3579877111286916e-2	2.349314643161468e-2	2.3589085078451866e-2	2.3652342753859978e-2
t_EUR_SEA	2.682133249619095e-2	2.6733648526926033e-2	2.6819764941774262e-2	2.6908951869738077e-2
p_EUR_SIB	0.6758664106500165	0.6630959460319203	0.6739730521293578	0.6843019660858418
p_SEA_FAM	0.1178131584592131	0.11636887405941267	0.11807528006682372	0.12463816645062352
p_EUR_SEA	0.703514679898969	0.7011523891765922	0.7032195341665299	0.705588895959717
tAdm_FAM_SIB	9.266895562735303e-3	9.216772787832948e-3	9.307353281282293e-3	9.39751360656597e-3
pAdm_FAM_SIB	0.1200782357355394	0.11816164996954927	0.11977846738938136	0.12048497575822906
adm_FAM_SIB	0.14724562235805613	0.14596805017223682	0.14752533165513468	0.1490757530856995
adm_EUR_FAM	8.224165635046557e-2	8.121552240657676e-2	8.217924116309754e-2	8.315994460052621e-2
tAdm_SEA_SIB	1.1353430075486814e-2	1.1195086830652012e-2	1.133154960560658e-2	1.143206296087407e-2
pAdm_SEA_SIB	0.6674934743296429	0.6603972140580212	0.6674210400205404	0.6776177061340379
adm_SEA_SIB	0.3731833140538629	0.3699711973205964	0.37335715822805615	0.3757981722172729
